Atributo1,Atributo2,Atributo3,Atributo4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
44,435,345,45
435,65,23,324
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
6,4,4,45
5,67,6,7
5,67,6,7
3423,32423,345,54
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
234,435,234,534
234,123,32,123
234,343,543,234
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
45,6,2,3
3,3,54,34
3,5,3,45
3,4,5,53
77,865,786,6
3,4543,345,45
32432,45,45,435
1,2,3,4
3,2,4,4
822,2608,338,2277
3749,4055,1160,2063
3423,2680,4280,862
1539,188,4080,1983
418,3540,255,120
1441,4147,1862,2204
3587,2346,927,2556
3073,1102,2794,1469
494,475,3386,1967
1198,3758,1201,175
606,1074,3847,4172
274,3355,1206,3691
3087,3399,1066,2119
3731,652,2260,2166
4527,1548,1024,502
1512,4073,4105,1679
2089,3994,669,2257
2806,2868,4731,1744
1686,1276,4084,1255
3854,3805,2112,1326
391,1022,4431,2887
4848,3991,369,2964
4758,4053,2377,1868
1443,3858,2249,1915
1535,992,813,4550
3846,1501,4062,1644
3763,1807,2697,3542
3110,965,1047,3438
1213,4331,2307,1918
3174,831,3815,3411
3727,155,346,2822
4641,2368,2889,1991
2251,4964,381,301
4058,3525,4007,3035
4552,1946,3693,1822
3572,3733,1018,665
1575,3618,3761,1463
796,1876,4926,925
4910,402,3345,4912
3642,1508,1355,1243
3297,4764,1171,1563
1620,4370,2242,1979
2471,273,1574,1778
3892,4205,3451,130
354,2827,4163,3729
1136,3177,1407,3943
1031,1601,4471,4262
4005,4974,765,2677
2534,3063,3634,2535
1537,3336,2643,3173
210,4654,211,2768
2254,4457,358,1750
3744,3112,4528,4586
3086,1656,3115,1310
424,1348,4536,235
4751,2165,3116,2584
2326,4388,1229,4024
628,4095,2650,605
908,937,116,21
1532,3154,4902,3489
3367,144,2093,1934
1488,63,4137,3716
922,3239,4257,2327
1813,1311,2769,2264
709,4155,1923,2340
2263,307,2173,1094
415,4716,4472,4364
3520,1618,2083,3828
2567,3288,2329,3023
3979,1950,1288,447
784,3571,564,3712
650,4701,3585,79
561,367,3349,1313
3083,2099,3376,4026
4703,3760,3644,3887
517,2065,2995,2847
3146,1713,3270,1570
4520,570,333,1925
3648,2357,194,2696
3054,749,2047,93
2869,4208,654,1361
2913,489,4372,2655
4461,591,3543,4427
3950,4851,4325,486
4583,1397,1554,3638
4702,2,736,2292
1530,807,2892,2216
1214,4746,1605,511
2183,1468,2939,4934
1134,3135,2807,3251
2436,427,4258,734
4017,3728,3316,1639
3752,1431,3208,2092
3384,881,3439,3807
2986,4249,1834,3811
1316,4929,380,601
153,4283,1154,2676
3187,3822,2979,547
4450,1604,3261,2057
3914,4334,1077,2799
977,2760,1013,1992
56,1971,2600,456
2790,1149,3784,2508
880,3835,4040,2592
3718,2350,864,3955
4642,1,1060,3705
562,54,2284,3977
3556,906,538,460
2306,690,3140,2809
77,761,4658,1270
2805,3443,3778,1926
4199,519,584,4839
1183,3850,2552,1657
3769,2928,3910,1264
3333,4096,762,2198
2914,4762,3658,2983
425,4954,14,1029
1610,525,2833,2493
4165,4652,2773,4380
936,2090,4770,1081
4260,2803,739,4417
2918,3655,269,2122
488,2852,38,4530
1940,2776,1417,2026
4978,3566,4029,3122
4444,393,1833,2574
1055,1709,1722,4160
4956,2523,576,1985
882,183,159,4057
2481,2524,2590,757
472,602,2044,2349
1370,4544,2988,1437
3832,1287,178,1970
1299,1820,3721,3741
172,3987,563,2910
1240,4246,2620,3711
817,2129,3158,969
3775,1001,320,4166
4463,574,2427,151
2820,1281,786,451
2958,994,3196,3819
2396,2202,2539,1839
847,1789,4077,3149
3665,1878,1150,1816
4691,3690,2221,692
3628,4756,3097,2338
3114,2692,787,2570
2126,3547,15,1168
3926,1037,1685,1043
3602,401,1990,793
4533,3432,1408,527
3795,3238,282,4543
317,3474,2189,432
52,4608,248,4747
1421,731,1111,3155
2096,356,3859,428
4117,2473,4,1002
1799,3420,2218,3702
29,4958,2081,4802
3963,2213,4820,2920
295,1662,3123,4967
1144,1885,448,4203
4508,1916,2070,4541
1012,1221,1010,198
3516,837,3710,797
2038,3469,4087,4377
3164,2547,4125,2324
1156,2976,3640,1700
1655,1708,501,4706
3033,2483,1359,111
1196,351,2548,953
4629,3448,3493,1009
1465,2039,3818,4616
4801,4405,4426,4149
2559,3315,589,985
34,4256,287,1658
670,3606,196,2585
2993,2935,2893,505
3890,1965,3330,22
2711,2367,485,4940
1600,3563,1561,3607
4300,3072,1791,3976
2046,1373,3951,1821
57,4452,4069,3312
4486,1194,4696,3901
69,1837,2846,2662
1089,308,4997,2921
4778,3884,3788,1769
1268,384,826,3983
4215,4173,2226,543
1692,2603,4188,1909
3645,2442,1331,4493
2322,4479,868,3232
3457,281,1317,2795
3501,4732,3960,484
2006,2388,2219,4196
158,554,4690,1379
4800,3413,833,3178
2538,3171,1341,115
1406,3714,4242,2143
857,4198,121,452
2353,1873,1403,524
1318,4591,3136,3159
3341,1856,930,2406
1333,4757,569,3491
3111,3889,154,2644
4885,2228,2636,1898
3237,2390,4904,90
1420,3513,344,2196
3001,1642,2851,3290
2290,98,3633,3125
691,1027,4831,2300
2637,1115,836,4233
3337,4224,1416,3502
3920,3381,3986,1787
258,4574,4061,1402
4487,1567,1641,4846
1689,3211,4742,1929
2825,94,160,3514
496,191,110,720
999,4152,1817,1577
1725,902,2005,3657
3061,3848,2310,727
1710,1026,2133,1210
262,806,3947,3941
2628,2141,1803,3531
1766,4228,2144,1544
2156,1462,3132,4551
2811,617,4382,2953
1030,2400,4356,2389
3427,537,3481,4440
835,2403,1323,4088
453,3881,3193,4395
3598,200,2741,891
2131,3382,4944,4724
2016,726,3696,2843
394,2410,491,4680
277,2214,700,3095
465,203,850,2091
3259,2113,1687,2627
926,3121,1572,4468
2132,321,1938,2268
2261,4046,869,587
1271,296,99,4777
1922,3039,3215,2209
4686,1283,2101,2718
4473,4886,2293,2675
4705,778,4532,4341
1998,4547,756,3293
3378,4223,832,4573
2623,3568,2423,4490
504,1609,4510,1883
1588,2476,1810,1962
1391,2074,1266,4348
3217,3523,4320,1624
774,560,1328,1937
1422,1975,2135,4745
350,2739,2029,3057
3160,4059,4351,133
1635,252,4564,479
698,800,840,4313
1239,1395,4722,3697
2606,2771,2220,3706
4212,4698,2440,177
1943,1230,2137,752
1184,4359,4826,4916
1866,1581,3453,4887
1432,3871,2818,3459
3375,2479,4267,2959
1924,2757,4347,4681
4433,4501,3052,890
3446,264,61,522
4114,3194,3526,2775
4389,2152,1664,1117
2710,4612,2586,2232
3025,1411,2542,2997
3364,2587,623,4992
1170,844,1234,1073
3207,4476,3982,639
3018,4294,1203,1430
140,4345,65,4579
4548,3522,3266,3911
4049,938,2925,2444
2831,1845,3931,2751
3004,3695,3079,332
575,1354,470,4708
2167,2320,4306,4090
4430,2716,1478,2114
4318,523,359,1506
518,3449,129,1961
2237,1847,1371,981
3436,1746,2513,4332
661,2765,2225,4210
798,3188,4138,4585
406,2866,4217,616
1763,528,4845,672
3335,231,4695,1583
3683,185,4930,1511
872,3024,4717,2646
2259,4653,4945,2934
4391,2533,1259,4357
1779,3253,2418,4197
1752,1783,3377,620
1280,1764,3275,634
1070,3837,3495,4606
74,1046,2597,2458
2858,791,586,3348
207,288,2276,1513
4179,1972,4835,1492
1903,171,3059,4371
4195,3745,4178,4263
3410,1906,4987,2128
107,3186,530,3932
2551,3675,3577,2828
4865,2510,1080,2674
2962,1467,676,1558
2100,4158,4091,4711
3767,3810,233,2223
4123,4718,4743,1555
2588,3331,1591,4836
3494,3034,3603,2907
529,1982,1497,1413
1875,2750,2230,1562
717,2291,2095,1993
3578,1163,2042,4808
1042,4861,3170,3107
4529,1460,2376,1125
708,3747,1707,3768
3680,1625,1261,1110
411,2832,2412,2244
2184,884,814,689
613,1069,643,1892
3100,4525,2557,3512
3390,1084,4995,1905
300,3877,3359,1346
4522,4526,2109,515
3041,73,3224,675
4700,2489,3370,4066
3456,4785,3584,2053
4112,1166,604,2672
2582,3184,900,2280
261,2417,3068,28
4225,143,3735,3552
1121,3265,4222,2616
3703,941,2576,3757
3487,1305,986,1489
4285,2501,1957,3019
3246,2383,1378,2640
681,3029,2978,1338
2532,1404,3975,4878
1805,3200,4098,2554
1630,2800,3736,4692
3649,1419,3862,362
2313,3636,239,704
2235,1649,89,3134
419,3654,2785,4760
4418,3168,1151,2256
4411,399,2032,594
2342,3470,3351,2591
4054,3806,2661,3053
4086,4156,4338,1871
372,4269,809,1320
842,1844,865,2703
353,3444,1062,4750
4207,2854,3228,4443
4971,2589,4812,2241
1491,1830,4504,4342
149,3826,3541,2984
3798,2411,2518,3220
3363,3388,3559,3812
2963,3180,3614,2404
855,319,668,1233
2279,1793,2305,1340
1648,2087,1036,2382
1179,683,4014,2190
495,2836,91,3189
246,4876,2884,2045
4041,3869,2593,2759
1209,4100,4735,3538
5,3548,173,3212
3506,2942,4795,298
2273,2384,3065,1593
3925,2982,4435,1852
2717,1155,3064,4712
2932,2085,2177,534
1097,4649,1996,4951
1223,3945,1815,2642
128,3300,1174,1775
1410,1684,254,1902
3046,4424,1157,3235
2698,4390,1637,3049
4719,3724,3010,1335
3197,1078,4437,4133
3953,4248,3366,619
901,209,311,2472
860,4447,4734,461
1475,4064,1777,3650
2688,3385,2948,192
2916,3124,4877,4153
3580,4545,4588,1123
3127,385,3589,2891
4101,3015,4775,4938
1425,7,3195,2467
3698,1014,3958,3885
4850,4993,2761,3797
4871,2079,4107,1907
2902,2491,4169,1052
2732,4895,4779,1225
2569,516,894,1974
100,4818,1740,4582
422,2461,4828,414
2224,4159,2971,1308
3262,1178,1188,1580
426,1064,667,3108
498,4559,1471,3575
1350,4192,3929,3060
4044,1380,1285,2622
1177,2631,2575,4991
2965,3028,4402,187
1960,2179,1819,2373
4358,3476,608,889
3282,1634,1381,4386
3030,1145,2158,3754
580,853,2495,297
3549,4247,1473,3131
3867,4759,4441,3334
275,917,4515,397
2066,4337,4286,2366
1693,4726,2853,3839
769,2994,4448,3656
4603,2550,1296,4539
4927,2778,1826,1858
2240,4604,3408,2954
328,1067,2409,454
2838,724,4276,2926
526,2699,746,703
1651,2492,1650,4592
972,1075,2379,3891
1899,3671,3450,2050
1424,803,1507,2176
1733,1768,920,2486
2247,4252,2756,4035
3789,4537,1594,2040
904,2736,1711,23
686,375,3605,4392
2747,4462,2873,3773
4888,3759,232,4587
883,3796,2824,1290
4518,444,2503,134
4523,3442,4833,2365
4766,323,1726,2199
4297,1988,875,2469
4139,799,3216,4200
609,3720,4367,4136
4335,4353,2835,1072
3924,1980,279,1668
3005,2397,292,3435
3765,3357,3218,2561
4494,2511,2719,278
3993,697,932,4753
2001,2375,2781,899
8,913,909,3561
4070,1480,1185,545
4193,3272,3667,3118
3840,4330,1841,3664
3921,3229,4834,4108
1315,2581,4768,820
753,3771,4852,4996
721,4360,1688,967
3416,4634,1869,2207
4039,357,1756,1048
1300,4477,2999,4972
3176,4497,2957,4617
480,4509,1757,657
190,2856,2951,138
2558,4723,325,507
12,4581,2923,37
166,2844,1282,180
2683,3014,1158,1954
1277,2067,1312,947
2754,1968,2097,3201
139,58,1545,3860
4274,4580,4043,983
4917,1989,1942,3803
4980,3092,125,914
3619,3995,36,1412
430,438,1495,3372
2895,2941,4963,4919
1182,322,1947,2879
1774,2635,4610,137
2443,1079,970,3612
583,3356,3643,3842
1212,1745,4451,2970
2309,1191,3849,2431
2425,167,3396,1872
1496,4862,1444,2758
810,3668,982,839
161,4089,4911,2239
2270,1387,1860,1741
3500,1263,678,1051
4989,2464,4290,658
3488,987,4864,3322
4704,3181,1192,1796
3915,324,3036,1874
1739,215,3651,1633
2485,531,2323,3264
2271,310,4244,3137
2522,2749,2336,4577
236,3280,1623,2695
446,2188,3214,2076
2138,3786,3554,3509
3089,3782,4720,2632
1667,3458,4001,1135
2021,3047,3808,379
4403,3899,3560,3813
285,213,2967,3165
4976,2531,294,2169
3909,1336,1226,1527
4115,3630,2720,4511
2069,4113,2841,581
897,3387,1930,4950
3872,2149,146,3802
1606,268,1568,4859
3701,4814,4939,240
2333,3530,4498,1189
108,1334,1344,989
450,1677,1004,464
3190,3058,3734,2059
768,3567,1818,4832
2777,4362,408,4794
1663,2641,612,3863
2571,170,729,4126
1140,1095,1785,3660
3581,4480,237,466
4857,4366,2583,4021
3307,3817,3242,1222
4051,2872,622,3292
2679,3800,1666,1680
4728,388,3175,4122
674,3673,142,1966
66,165,962,4952
3750,201,3527,2598
532,4985,893,2278
728,3755,3601,284
3162,3400,1175,3730
2896,830,1696,4699
2802,521,4578,4982
3999,1452,955,2043
1794,2330,2182,4206
664,995,4384,3895
2789,4856,3009,590
805,4946,363,2312
2339,3361,2875,4780
4883,1272,135,3964
3868,4237,222,2011
463,1706,1442,2972
3553,1141,2572,2004
4393,1855,1840,3285
3609,2387,565,2507
1549,2482,549,2426
685,4453,2498,43
225,4713,2354,679
1450,1502,3770,2160
4737,13,764,4474
349,2448,1000,3974
4788,4790,827,4519
1792,2068,4093,238
3247,3419,3414,3912
204,3677,4343,2294
1470,4920,3980,3255
2830,67,3879,492
2447,4961,2072,812
2195,659,4748,4781
3445,4605,4568,2163
4141,4148,2515,4925
226,4106,866,4676
558,2812,772,4853
